evaluation_stage,year,top_n,round_trip_cost_rate,observations,gross_final_return,net_final_return,vnindex_final_return,equal_weight_30_final_return,excess_vs_vnindex,excess_vs_equal_weight_30,sharpe_annualized,max_drawdown,max_drawdown_method,positive_period_rate
walk_forward_validation,2022,2,0.0,11,-0.37155226613948633,-0.37155226613948633,-0.25057160554465907,-0.153719791724651,-0.12098066059482726,-0.21783247441483533,-0.8438371278003022,-0.5139305146526598,period_end_equity_curve,0.36363636363636365
walk_forward_validation,2022,2,0.002,11,-0.37155226613948633,-0.3859607279041769,-0.25057160554465907,-0.1725048824117178,-0.13538912235951783,-0.2134558454924591,-0.8958933344666232,-0.5233973063633209,period_end_equity_curve,0.36363636363636365
walk_forward_validation,2022,2,0.004,11,-0.37155226613948633,-0.4000688327484917,-0.25057160554465907,-0.19091044030936188,-0.14949722720383263,-0.20915839243912981,-0.9479495411329442,-0.5327001609934128,period_end_equity_curve,0.36363636363636365
walk_forward_validation,2022,2,0.006,11,-0.37155226613948633,-0.41388221668609215,-0.25057160554465907,-0.20894337516223782,-0.16331061114143308,-0.20493884152385433,-1.0000057477992652,-0.5418415633536671,period_end_equity_curve,0.36363636363636365
walk_forward_validation,2022,3,0.0,11,-0.15761767098135804,-0.15761767098135804,-0.25057160554465907,-0.153719791724651,0.09295393456330103,-0.0038978792567070375,-0.15893290723190334,-0.38062790962547566,period_end_equity_curve,0.36363636363636365
walk_forward_validation,2022,3,0.002,11,-0.15761767098135804,-0.17643208135671462,-0.25057160554465907,-0.1725048824117178,0.07413952418794445,-0.003927198944996824,-0.2097587386697411,-0.3923763281119186,period_end_equity_curve,0.36363636363636365
walk_forward_validation,2022,3,0.004,11,-0.15761767098135804,-0.19486447003960816,-0.25057160554465907,-0.19091044030936188,0.05570713550505091,-0.003954029730246278,-0.26058457010757885,-0.40392663824651664,period_end_equity_curve,0.36363636363636365
walk_forward_validation,2022,3,0.006,11,-0.15761767098135804,-0.21292181856338832,-0.25057160554465907,-0.20894337516223782,0.03764978698127075,-0.0039784434011505,-0.31141040154541655,-0.41528176353378177,period_end_equity_curve,0.36363636363636365
walk_forward_validation,2022,5,0.0,11,-0.23841931469604427,-0.23841931469604427,-0.25057160554465907,-0.153719791724651,0.0121522908486148,-0.08469952297139327,-0.4566542529441559,-0.39124945323797644,period_end_equity_curve,0.36363636363636365
walk_forward_validation,2022,5,0.002,11,-0.23841931469604427,-0.255558118439856,-0.25057160554465907,-0.1725048824117178,-0.004986512895196915,-0.08305323602813819,-0.5116265803664802,-0.40280829317301314,period_end_equity_curve,0.36363636363636365
walk_forward_validation,2022,5,0.004,11,-0.23841931469604427,-0.2723461531533784,-0.25057160554465907,-0.19091044030936188,-0.02177454760871933,-0.08143571284401652,-0.5665989077888045,-0.4141719670194087,period_end_equity_curve,0.36363636363636365
walk_forward_validation,2022,5,0.006,11,-0.23841931469604427,-0.2887898825020693,-0.25057160554465907,-0.20894337516223782,-0.0382182769574102,-0.07984650733983145,-0.6215712352111289,-0.4253433593358048,period_end_equity_curve,0.36363636363636365
walk_forward_validation,2022,8,0.0,11,-0.18319295025994042,-0.18319295025994042,-0.25057160554465907,-0.153719791724651,0.06737865528471865,-0.029473158535289423,-0.37967053849835786,-0.3365553739620455,period_end_equity_curve,0.45454545454545453
walk_forward_validation,2022,8,0.002,11,-0.18319295025994042,-0.20142982616768834,-0.25057160554465907,-0.1725048824117178,0.04914177937697073,-0.028924943755970545,-0.44255406892061616,-0.34902209572874743,period_end_equity_curve,0.45454545454545453
walk_forward_validation,2022,8,0.004,11,-0.18319295025994042,-0.21929629658297756,-0.25057160554465907,-0.19091044030936188,0.031275308961681514,-0.028385856273615673,-0.5054375993428745,-0.3612804637554802,period_end_equity_curve,0.45454545454545453
walk_forward_validation,2022,8,0.006,11,-0.18319295025994042,-0.2367991370733904,-0.25057160554465907,-0.20894337516223782,0.013772468471268673,-0.027855761911152577,-0.5683211297651327,-0.37333352681497356,period_end_equity_curve,0.45454545454545453
walk_forward_validation,2022,10,0.0,11,-0.18173638246321389,-0.18173638246321389,-0.25057160554465907,-0.153719791724651,0.06883522308144518,-0.028016590738562885,-0.4030851501129131,-0.32721250387436407,period_end_equity_curve,0.45454545454545453
walk_forward_validation,2022,10,0.002,11,-0.18173638246321389,-0.19999190891843377,-0.25057160554465907,-0.1725048824117178,0.0505796966262253,-0.027487026506715972,-0.46813087004509113,-0.33982903179466073,period_end_equity_curve,0.45454545454545453
walk_forward_validation,2022,10,0.004,11,-0.18173638246321389,-0.2178768787624984,-0.25057160554465907,-0.19091044030936188,0.03269472678216068,-0.02696643845313651,-0.5331765899772692,-0.3522350989000905,period_end_equity_curve,0.45454545454545453
walk_forward_validation,2022,10,0.006,11,-0.18173638246321389,-0.23539806708143896,-0.25057160554465907,-0.20894337516223782,0.015173538463220115,-0.026454691919201134,-0.5982223099094469,-0.3644337794336818,period_end_equity_curve,0.45454545454545453
walk_forward_validation,2023,2,0.0,11,0.355382206898881,0.355382206898881,0.027096046867038925,0.008285132097841652,0.3282861600318421,0.34709707480103935,1.3443860213988519,-0.2062467609556411,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2023,2,0.002,11,0.355382206898881,0.32657179416345494,0.027096046867038925,-0.013682250136289764,0.299475747296416,0.3402540442997447,1.2577947101786169,-0.21138179932232193,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2023,2,0.004,11,0.355382206898881,0.29831885549610493,0.027096046867038925,-0.035213763667432896,0.271222808629066,0.3335326191635378,1.171203398958382,-0.2164946535614718,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2023,2,0.006,11,0.355382206898881,0.27061366959498856,0.027096046867038925,-0.05631720594320799,0.24351762272794963,0.32693087553819655,1.0846120877381473,-0.221585371673091,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2023,3,0.0,11,0.1629413059196727,0.1629413059196727,0.027096046867038925,0.008285132097841652,0.13584525905263378,0.15465617382183106,0.8699472263868995,-0.18908091336433552,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2023,3,0.002,11,0.1629413059196727,0.13790543423993418,0.027096046867038925,-0.013682250136289764,0.11080938737289525,0.15158768437622394,0.7591373758489794,-0.19429043244065525,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2023,3,0.004,11,0.1629413059196727,0.11336031212223086,0.027096046867038925,-0.035213763667432896,0.08626426525519193,0.14857407578966375,0.6483275253110597,-0.19947760570058037,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2023,3,0.006,11,0.1629413059196727,0.08929726821407247,0.027096046867038925,-0.05631720594320799,0.06220122134703354,0.14561447415728046,0.5375176747731397,-0.2046424811441111,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2023,5,0.0,11,0.16335766512513916,0.16335766512513916,0.027096046867038925,0.008285132097841652,0.13626161825810024,0.1550725330272975,0.9431747132041044,-0.16009689525713888,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2023,5,0.002,11,0.16335766512513916,0.13832175396571023,0.027096046867038925,-0.013682250136289764,0.1112257070986713,0.152004004102,0.820708417682268,-0.16375913044981183,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2023,5,0.004,11,0.16335766512513916,0.11377644958045297,0.027096046867038925,-0.035213763667432896,0.08668040271341404,0.14899021324788586,0.6982421221604314,-0.167413365642485,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2023,5,0.006,11,0.16335766512513916,0.08971308512060827,0.027096046867038925,-0.05631720594320799,0.06261703825356935,0.14603029106381626,0.5757758266385948,-0.17105960083515792,period_end_equity_curve,0.6363636363636364
walk_forward_validation,2023,8,0.0,11,0.107476044513233,0.107476044513233,0.027096046867038925,0.008285132097841652,0.08037999764619408,0.09919091241539135,0.6813422031034936,-0.17350972700014167,period_end_equity_curve,0.7272727272727273
