time,symbol,open,high,low,close,volume
2023-07-26,VNINDEX,1195.5,1200.84,1195.44,1200.84,816580555
2023-07-27,VNINDEX,1201.69,1203.69,1191.08,1197.33,1044856216
2023-07-28,VNINDEX,1197.32,1207.67,1195.86,1207.67,1018968754
2023-07-31,VNINDEX,1219.66,1224.81,1212.81,1222.9,1076364086
2023-08-01,VNINDEX,1230.32,1234.5,1217.56,1217.56,1156851607
2023-08-02,VNINDEX,1217.17,1223.04,1213.18,1220.43,813384734
2023-08-03,VNINDEX,1219.73,1222.35,1209.06,1210.95,935942395
2023-08-04,VNINDEX,1216.27,1228.12,1214.17,1225.98,1051204937
2023-08-07,VNINDEX,1233.1,1241.42,1230.38,1241.42,1069565143
2023-08-08,VNINDEX,1244.35,1246.22,1239.01,1242.23,1055127603
2023-08-09,VNINDEX,1240.68,1241.96,1231.28,1233.99,963201423
2023-08-10,VNINDEX,1236.51,1238.19,1220.61,1220.61,932188428
2023-08-11,VNINDEX,1228.92,1232.21,1213.37,1232.21,938402362
2023-08-14,VNINDEX,1237.14,1239.61,1229.04,1236.84,993030302
2023-08-15,VNINDEX,1239.42,1239.42,1230.58,1234.05,811761959
2023-08-16,VNINDEX,1239.95,1243.48,1235.27,1243.26,816831815
2023-08-17,VNINDEX,1242.58,1243.98,1233.48,1233.48,1011505421
2023-08-18,VNINDEX,1227.02,1228.98,1177.74,1177.99,1583522435
2023-08-21,VNINDEX,1177.01,1188.16,1164.63,1179.76,961714839
2023-08-22,VNINDEX,1183.92,1184.43,1149.13,1180.49,933784657
2023-08-23,VNINDEX,1192.96,1193.79,1168.89,1172.56,620730150
2023-08-24,VNINDEX,1175.2,1189.99,1171.33,1189.39,737567928
2023-08-25,VNINDEX,1188.99,1192.59,1181.6,1183.37,774848913
2023-08-28,VNINDEX,1189.43,1202.02,1189.43,1201.72,713247349
2023-08-29,VNINDEX,1204.75,1208.78,1197.57,1204.43,848040448
2023-08-30,VNINDEX,1206.1,1213.52,1203.51,1213.16,799265566
2023-08-31,VNINDEX,1216.0,1224.84,1214.39,1224.05,852855777
2023-09-05,VNINDEX,1231.43,1236.21,1228.7,1234.98,926699196
2023-09-06,VNINDEX,1237.07,1245.5,1229.89,1245.5,1009683101
2023-09-07,VNINDEX,1248.91,1255.11,1240.82,1243.14,1034363991
2023-09-08,VNINDEX,1242.28,1248.1,1240.15,1241.48,920806719
2023-09-11,VNINDEX,1250.48,1251.37,1223.33,1223.63,1242292544
2023-09-12,VNINDEX,1227.16,1245.44,1220.85,1245.44,832491088
2023-09-13,VNINDEX,1248.94,1250.61,1232.84,1238.39,1126481442
2023-09-14,VNINDEX,1238.19,1244.21,1223.03,1223.81,1110222861
2023-09-15,VNINDEX,1228.87,1233.87,1220.27,1227.36,822519558
2023-09-18,VNINDEX,1225.6,1226.56,1203.88,1211.81,716585507
2023-09-19,VNINDEX,1215.96,1219.57,1199.85,1211.5,831441539
